ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2022,2022-04-16,2,Estádio Serra Dourada,Braulio da Silva Machado,12864,14525,Goiás,Palmeiras,Jair Ventura,Abel Ferreira,19,14,8950000,86000000,28.3,26.7,1,1,0,0,2,6,16,7,6,13,5,5,0,2,9,22,2,11
2022,2022-05-16,6,Estádio Serra Dourada,Marcelo de Lima Henrique  ,9538,14525,Goiás,Santos,Jair Ventura,Fabián Bustos,17,2,6950000,25900000,27.2,26.1,1,0,1,0,5,9,14,11,11,12,4,4,0,2,10,16,3,9
2022,2022-06-26,14,Estádio Serra Dourada,Rodolpho Toski Marques,8871,14525,Goiás,Cuiabá-MT,Jair Ventura,Toni Oliveira,17,18,8150000,9800000,25.9,29.7,1,0,0,0,4,6,14,16,14,14,2,4,2,0,15,13,8,7
2022,2022-07-10,16,Estádio Serra Dourada,Raphael Claus,9044,14525,Goiás,Athletico-PR,Jair Ventura,Luiz Felipe Scolari,17,2,7700000,21350000,27.2,23.9,2,1,2,0,2,2,15,10,10,14,3,1,0,3,11,20,6,10
2022,2022-07-30,20,Estádio Serra Dourada,Wagner do Nascimento Magalhães,11267,14525,Goiás,Coritiba FC,Jair Ventura,Gustavo Morínigo,14,13,10000000,8200000,27.0,29.7,1,0,0,0,3,7,18,11,11,18,3,3,1,3,18,20,10,10
2022,2022-08-27,24,Estádio Serra Dourada,Marcelo de Lima Henrique  ,13411,14525,Goiás,Atlético-GO,,,11,19,9680000,7450000,28.0,28.3,2,1,1,0,3,3,14,9,9,13,1,4,1,1,15,10,6,5
2022,2022-09-11,26,Estádio Serra Dourada,Ramon Abatti,13798,14525,Goiás,Flamengo,Jair Ventura,Dorival Júnior,9,2,9680000,50500000,28.0,28.5,1,1,0,0,4,9,14,13,12,13,5,3,1,0,7,15,1,4
2022,2022-09-29,28,Estádio Serra Dourada,Luiz Flávio de Oliveira ,10774,14525,Goiás,Botafogo,Jair Ventura,Luís Castro,9,10,10750000,27400000,28.3,29.3,0,1,0,0,6,11,16,14,11,16,5,1,2,1,6,17,2,9
2022,2022-10-29,32,Estádio Serra Dourada,Bruno Arleu de Araújo,9497,14525,Goiás,Corinthians,Jair Ventura,Vítor Pereira,14,3,12830000,53500000,26.1,25.9,0,0,0,0,2,4,11,11,11,10,2,2,2,1,12,21,6,10
2022,2022-10-27,34,Estádio Serra Dourada,Wagner do Nascimento Magalhães,7274,14525,Goiás,América-MG,Jair Ventura,Vagner Mancini,13,9,12800000,8150000,26.9,31.2,2,2,0,0,3,8,14,23,22,12,3,3,1,0,12,16,4,8
2022,2022-11-05,36,Estádio Serra Dourada,Edina Alves Batista,10480,14525,Goiás,Juventude,Jair Ventura,Celso Roth,14,20,13050000,5900000,27.3,27.7,1,0,0,0,5,8,15,22,21,15,2,0,1,0,8,14,3,8
2022,2022-04-24,3,Estádio Urbano Caldeira,Wilton Sampaio,10374,20120,Santos,América-MG,Fabián Bustos,Vagner Mancini,5,9,34900000,10150000,25.1,31.3,3,0,1,0,3,8,16,8,8,15,2,4,2,1,18,19,5,11
2022,2022-05-21,7,Arena Barueri,Savio Pereira Sampaio,25797,32120,Santos,Ceará SC,Fabián Bustos,Dorival Júnior,5,14,27400000,10100000,26.0,28.8,0,0,0,0,6,2,9,13,13,9,4,3,2,1,16,11,11,6
2022,2022-05-29,8,Estádio Urbano Caldeira,Luiz Flávio de Oliveira ,14220,20120,Santos,Palmeiras,Fabián Bustos,Abel Ferreira,6,2,28400000,72450000,25.4,28.4,0,1,0,0,3,4,19,15,15,18,3,3,1,2,17,17,7,9
2022,2022-06-09,10,Estádio Urbano Caldeira,Ramon Abatti,8845,20120,Santos,Internacional,Fabián Bustos,Mano Menezes,9,7,26100000,34400000,27.2,29.5,1,1,0,0,10,3,11,15,14,11,5,4,2,1,22,11,11,3
2022,2022-07-10,16,Estádio Urbano Caldeira,Braulio da Silva Machado,8588,20120,Santos,Atlético-GO,,,10,16,28600000,6700000,27.5,27.7,1,0,0,0,9,10,13,18,16,13,4,4,0,0,19,15,6,6
2022,2022-07-21,18,Estádio Urbano Caldeira,Ramon Abatti,8453,20120,Santos,Botafogo,Marcelo Fernandes,Luís Castro,10,11,35800000,21400000,25.2,26.8,2,0,1,0,4,4,15,18,18,14,10,5,2,2,16,23,7,6
2022,2022-08-02,20,Estádio Urbano Caldeira,Braulio da Silva Machado,11943,20120,Santos,Fluminense,Lisca,Fernando Diniz,9,3,25500000,27000000,27.6,28.3,2,2,1,0,5,5,14,13,12,14,5,1,2,0,10,12,5,3
2022,2022-08-21,23,Estádio Urbano Caldeira,Wilton Sampaio,12598,20120,Santos,São Paulo,Lisca,Rogério Ceni,10,11,40400000,26250000,26.6,28.6,1,0,1,0,5,9,12,9,8,11,6,4,1,0,13,18,5,8
2022,2022-09-28,28,Estádio Urbano Caldeira,Braulio da Silva Machado,7464,20120,Santos,Athletico-PR,Orlando Ribeiro,Luiz Felipe Scolari,11,6,45400000,27000000,26.6,27.3,2,0,1,0,5,4,19,21,19,19,3,3,1,2,11,14,5,7
2022,2022-10-06,30,Estádio Urbano Caldeira,Bruno Arleu de Araújo,9278,20120,Santos,Atlético-MG,Orlando Ribeiro,Cuca,12,7,49800000,56000000,26.0,28.7,1,2,0,0,5,4,18,18,18,18,1,4,4,1,10,12,4,3
2022,2022-10-11,31,Estádio Urbano Caldeira,Jose Mendonça,9171,20120,Santos,Juventude,Orlando Ribeiro,Lucas Zanella,14,20,41600000,5750000,25.8,27.9,4,1,1,0,3,8,13,10,10,12,2,4,0,1,19,16,8,10
2022,2022-10-23,33,Estádio Urbano Caldeira,Flavio Rodrigues de Souza,12872,20120,Santos,Corinthians,Orlando Ribeiro,Vítor Pereira,12,4,39000000,58800000,25.4,26.2,0,1,0,0,7,4,15,11,10,12,1,2,1,0,12,8,4,2
2022,2022-11-05,36,Arena Barueri,Caio Max Augusto Vieira,18686,32500,Santos,Avaí FC,Orlando Ribeiro,Fabrício Bento,12,19,41700000,5500000,26.1,27.9,1,1,1,0,9,4,14,13,12,14,5,4,1,0,9,15,3,6
2022,2022-11-13,38,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,11565,20120,Santos,Fortaleza,Orlando Ribeiro,Juan Pablo Vojvoda,12,10,43500000,14150000,25.7,29.2,0,2,0,0,5,7,17,14,14,16,4,3,0,2,14,13,7,5
2022,2022-04-11,1,Estádio Aderbal Ramos da Silva,Luiz Flávio de Oliveira ,5081,17800,Avaí FC,América-MG,Eduardo Barroca,Marquinhos Santos,6,15,4280000,11300000,30.2,29.3,1,0,0,0,6,1,20,18,17,18,1,1,3,2,13,7,8,3
2022,2022-04-26,3,Estádio Aderbal Ramos da Silva,Antonio Dib Moraes de Sousa,5883,17800,Avaí FC,Goiás,Eduardo Barroca,Jair Ventura,14,17,5980000,6900000,29.1,28.2,3,2,1,0,3,5,20,20,16,20,3,1,0,3,14,18,6,4
2022,2022-05-10,5,Estádio Aderbal Ramos da Silva,Jefferson Ferreira Moraes,8548,17800,Avaí FC,Coritiba FC,Eduardo Barroca,Gustavo Morínigo,9,4,5980000,6650000,29.1,30.4,2,1,0,0,5,7,14,13,13,14,3,4,0,1,12,8,4,3
2022,2022-06-26,14,Estádio Aderbal Ramos da Silva,Wagner do Nascimento Magalhães,15233,17800,Avaí FC,Palmeiras,Eduardo Barroca,Abel Ferreira,11,1,7380000,57200000,29.1,27.3,2,2,1,0,2,5,18,17,16,16,2,2,0,1,7,15,3,8
2022,2022-07-03,15,Estádio Aderbal Ramos da Silva,Jean Pierre Goncalves Lima,13103,17800,Avaí FC,Cuiabá-MT,Eduardo Barroca,Toni Oliveira,11,18,5930000,9900000,28.8,28.6,1,2,1,0,4,4,10,12,12,8,1,2,3,2,12,13,7,6
2022,2022-07-17,17,Estádio Aderbal Ramos da Silva,Paulo Roberto Alves Júnior,8674,17800,Avaí FC,Santos,Eduardo Barroca,Marcelo Fernandes,16,8,7800000,28200000,29.9,27.6,1,0,1,0,6,8,17,12,10,17,2,3,3,1,14,6,6,1
