,ano_campeonato,data,rodada,estadio,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,gols_mandante,gols_visitante,defesas_mandante,defesas_visitante,chutes_mandante,chutes_visitante
1146,2020,2020-11-08,20,Estádio São Januário,Vasco da Gama,Palmeiras,Ricardo Sá Pinto,Abel Ferreira,0.0,1.0,2.0,3.0,9.0,8.0
1002,2020,2020-11-15,21,Allianz Parque,Palmeiras,Fluminense,Abel Ferreira,Odair Hellmann,2.0,0.0,5.0,3.0,9.0,15.0
991,2020,2020-11-22,22,Estádio Serra Dourada,Goiás EC,Palmeiras,Glauber Ramos,Abel Ferreira,1.0,0.0,3.0,1.0,8.0,14.0
1003,2020,2020-11-28,23,Allianz Parque,Palmeiras,Athletico-PR,Abel Ferreira,Paulo Autuori,3.0,0.0,1.0,5.0,22.0,4.0
1016,2020,2020-12-05,24,Estádio Urbano Caldeira,Santos FC,Palmeiras,Cuca,Abel Ferreira,2.0,2.0,3.0,3.0,15.0,11.0
1004,2020,2020-12-12,25,Allianz Parque,Palmeiras,EC Bahia,Abel Ferreira,Mano Menezes,3.0,0.0,8.0,4.0,15.0,18.0
1123,2020,2020-12-20,26,Estádio Beira-Rio,Internacional,Palmeiras,Abel Braga,Abel Ferreira,2.0,0.0,0.0,2.0,12.0,13.0
1005,2020,2020-12-27,27,Allianz Parque,Palmeiras,RB Bragantino,Abel Ferreira,Maurício Barbieri,1.0,0.0,2.0,0.0,6.0,21.0
1255,2020,2021-01-09,29,Estádio Adelmar da Costa Carvalho,Sport Recife,Palmeiras,Jair Ventura,Abel Ferreira,0.0,1.0,3.0,5.0,11.0,12.0
1007,2020,2021-01-16,30,Allianz Parque,Palmeiras,Grêmio,Abel Ferreira,Renato Gaúcho,1.0,1.0,6.0,5.0,16.0,12.0
1006,2020,2021-01-18,28,Allianz Parque,Palmeiras,Corinthians,Abel Ferreira,Vágner Mancini,4.0,0.0,4.0,4.0,15.0,10.0
962,2020,2021-01-21,31,Estádio Nacional de Brasília Mané Garrincha,Flamengo,Palmeiras,Rogério Ceni,Abel Ferreira,2.0,0.0,0.0,5.0,15.0,6.0
1185,2020,2021-01-24,32,Estádio Governador Plácido Castelo,Ceará SC,Palmeiras,Guto Ferreira,Abel Ferreira,2.0,1.0,3.0,1.0,9.0,12.0
1200,2020,2021-01-27,1,Allianz Parque,Palmeiras,Vasco da Gama,Abel Ferreira,Vanderlei Luxemburgo,1.0,1.0,2.0,2.0,14.0,12.0
1008,2020,2021-02-02,33,Allianz Parque,Palmeiras,Botafogo,Abel Ferreira,Eduardo Barroca,1.0,1.0,2.0,1.0,17.0,17.0
1009,2020,2021-02-14,36,Allianz Parque,Palmeiras,Fortaleza,Abel Ferreira,Enderson Moreira,3.0,0.0,1.0,3.0,13.0,5.0
1063,2020,2021-02-17,35,Estádio Major Antônio Couto Pereira,Coritiba FC,Palmeiras,Gustavo Morínigo,Abel Ferreira,1.0,0.0,4.0,3.0,13.0,15.0
1041,2020,2021-02-20,34,Estádio Cícero Pompeu de Toledo,São Paulo,Palmeiras,Vizolli,Abel Ferreira,1.0,1.0,1.0,2.0,7.0,8.0
1204,2020,2021-02-22,37,Allianz Parque,Palmeiras,Atlético-GO,Abel Ferreira,Marcelo Cabo,1.0,1.0,2.0,3.0,19.0,9.0
1104,2020,2021-02-26,38,Estádio Governador Magalhães Pinto,Atlético-MG,Palmeiras,Jorge Sampaoli,Abel Ferreira,2.0,0.0,4.0,6.0,19.0,9.0
